id_produk,barcode,nama_produk,jenis,merk,varian,berat,satuan,harga_beli,harga_jual,status,Jumlah,expired_date
35,P1-GMY-KP-10,Pasir Kucing,Bentonite,Gemoy,Kopi,10,L,50000,55000,sold out,0,NULL
36,P1-PPI-LMN-10,Pasir Kucing,Bentonite,Popoki,Lemon,10,L,58000,68000,available,2,NULL
37,P1-PPI-LAV-10,Pasir Kucing,Bentonite,Popoki,Lavender,10,L,58000,68000,available,3,NULL
38,P1-PPI-BG-10,Pasir Kucing,Bentonite,Popoki,Bubblegum,10,L,58000,68000,available,1,NULL
39,P1-ANB-ORG-10,Pasir Kucing,Bentonite,Anabul,Orange,10,L,53000,63000,available,1,NULL
40,P1-ANB-VNL-10,Pasir Kucing,Bentonite,Anabul,vanila,10,L,53000,63000,sold out,0,NULL
41,P1-ANB-LAV-10,Pasir Kucing,Bentonite,Anabul,Lavender,10,L,53000,63000,available,1,NULL
42,P1-ANB-KP-10,Pasir Kucing,Bentonite,Anabul,Kopi,10,L,53000,63000,available,1,NULL
43,P1-ANB-ST-10,Pasir Kucing,Bentonite,Anabul,Strawberry,10,L,53000,63000,sold out,0,NULL
44,"P1-MR-LMN-5,5",Pasir Kucing,Bentonite,Markotops,Lemon,5.5,L,34000,40000,available,6,NULL
45,"P1-MR-APL-5,5",Pasir Kucing,Bentonite,Markotops,Apel,5.5,L,34000,40000,available,5,NULL
46,"P1-MR-LAV-5,5",Pasir Kucing,Bentonite,Markotops,Lavender,5.5,L,34000,40000,available,6,NULL
47,"P1-MR-KP-5,5",Pasir Kucing,Bentonite,Markotops,Kopi,5.5,L,34000,40000,available,0,NULL
48,"P1-PS-LMN-5,5",Pasir Kucing,Bentonite,Pawsitive,Lemon,5.5,L,30000,38000,sold out,0,NULL
49,P1-PS-LAV-10,Pasir Kucing,Bentonite,Pawsitive,Lavender,5.5,L,30000,38000,sold out,0,NULL
50,P1-PS-APL-10,Pasir Kucing,Bentonite,Pawsitive,Apel,5.5,L,30000,38000,sold out,0,NULL
51,P1-PS-KP-10,Pasir Kucing,Bentonite,Pawsitive,Kopi,5.5,L,30000,38000,available,3,NULL
52,"P1-PR-LMN-5,5",Pasir Kucing,Bentonite,Pursona,Lemon,5.5,L,28000,35000,available,13,NULL
53,"P1-PR-APL-5,5",Pasir Kucing,Bentonite,Pursona,Apel,5.5,L,28000,35000,sold out,0,NULL
54,"P1-PR-LAV-5,5",Pasir Kucing,Bentonite,Pursona,Lavender,5.5,L,28000,35000,available,3,NULL
55,"P1-PR-KP-5,5",Pasir Kucing,Bentonite,Pursona,Kopi,5.5,L,28000,35000,available,18,NULL
56,"P1-PR-PC-5,5",Pasir Kucing,Bentonite,Pursona,Peach,5.5,L,28000,35000,available,4,NULL
57,P1-ANC-LMN-5,Pasir Kucing,Bentonite,Animal&Co,Lemon,5,L,25000,33000,sold out,0,NULL
58,P1-ANC-APL-5,Pasir Kucing,Bentonite,Animal&Co,apel,5,L,25000,33000,sold out,0,NULL
